engager,target_user,timestamp,interaction,tweet,post_id
5393,5393,1341102663,MT,Bitcoin is digital gold,26
325915,325915,1341103149,MT,"Football is more than a game, it is a lifestyle",33
325915,325915,1341104491,MT,Basketball courts are where legends are made,56
331967,331967,1341104791,MT,Artificial intelligence transforms technology,63
331320,331320,1341105487,MT,Movies transport us to other worlds,71
213163,213163,1341105766,MT,Cars combine engineering and art,76
197061,197061,1341106510,MT,Milky Way spans the night sky,88
197061,197061,1341106510,RE,Our galaxy is vast,89
446328,5411,1341106547,RT,Travel opens new perspectives,91
75470,4665,1341106591,RT,Ethereum powers decentralized apps,92
34790,2417,1341107906,MT,Cinema captures human emotion,109
162386,69340,1341108319,RT,Blockchain is the future of trust,112
43332,43332,1341108467,MT,Altcoins offer diverse opportunities,113
43332,43332,1341108534,MT,DeFi is reshaping finance,114
43332,43332,1341108564,MT,NFTs create digital ownership,115
432622,59343,1341108852,RT,Exploring destinations inspires,123
6669,9192,1341109291,RT,Stars light up the Milky Way,128
174754,2288,1341111247,MT,Automobiles drive innovation,158
174754,2288,1341111247,RE,Electric vehicles shape the future,159
10367,170707,1341111370,RT,Nebulae color the galaxy,160
226803,226803,1341111706,MT,Hybrid cars balance power and efficiency,168
66383,66383,1341111775,MT,Film tells powerful stories,171
357642,519,1341111879,RT,Politics shapes nations and policies,177
6672,73370,1341112643,RT,Luxury cars showcase design,184
6701,93314,1341112852,RT,Soccer brings the world together,188
242386,242386,1341113309,MT,Running clears the mind and strengthens the body,196
47499,47499,1341113457,MT,Directors shape visions,200
296119,296119,1341113695,MT,Crypto wallets keep assets safe,205
315802,54200,1341114059,MT,Tennis is a battle of strategy and speed,208
64998,30225,1341114221,RT,Nothing beats the smell of fresh bread in the morning,209
67382,67382,1341114850,MT,Swimming is freedom in motion,215
228311,228311,1341115904,MT,iPhones revolutionize mobile tech,231
285913,285914,1341116534,RT,Smart contracts automate agreements,238
160055,160055,1341116854,MT,Sports cars thrill drivers,243
3546,3546,1341119256,MT,Black holes lurk unseen,271
6708,6640,1341120914,RT,Baseball is America’s pastime,285
101109,35376,1341121067,RT,iPhone design emphasizes simplicity,286
65919,2417,1341122011,MT,Actors bring characters to life,304
222663,22849,1341122212,RT,Screenplays craft narratives,307
130712,1988,1341122950,RT,Machine learning powers AI systems,319
126658,37820,1341123583,MT,Cycling is the journey and the destination,327
454953,1852,1341124220,RT,SUVs offer versatility,337
67868,115560,1341124597,MT,Deep learning mimics the human brain,340
192414,192414,1341127664,MT,Adventure awaits the curious,395
104567,2417,1341128745,MT,Cinematography frames beauty,408
31850,31850,1341129395,MT,Galactic core is dense,415
13790,8209,1341130597,MT,Sedans provide comfort,432
13790,8209,1341130597,RE,Hatchbacks maximize practicality,433
442197,21606,1341130607,RT,Golf requires patience and precision,435
144499,81492,1341131392,RT,Spiral arms rotate,441
387335,47666,1341132467,RT,Culture enriches the traveler,453
208279,208279,1341134346,MT,Chocolate cake is proof that happiness can be baked,474
137174,137174,1341134873,MT,Solar System orbits the center,480
295959,295959,1341135467,MT,Stellar nurseries form stars,491
129505,129505,1341136830,MT,Freshly brewed coffee makes everything better,505
132125,35376,1341136910,MT,iPhone cameras capture moments,506
67515,67503,1341137202,MT,Elections determine leadership,508
115818,43515,1341138204,RT,Mining validates transactions,525
6704,6704,1341138259,MT,Staking earns rewards,527
101209,5438,1341139035,RT,Nature offers peace,547
420585,420585,1341139115,MT,Coupes emphasize style,548
101816,2911,1341139772,RT,Supernovae enrich space,568
409329,5438,1341140451,RT,Beaches invite relaxation,580
405863,405863,1341140771,MT,Editing controls pacing,583
405863,405863,1341140949,MT,Soundtracks enhance mood,589
143977,143977,1341141806,MT,Exoplanets orbit stars,599
324955,324955,1341142418,MT,Visual effects create wonder,608
324955,324955,1341142418,RE,Movie premieres excite fans,609
265813,265813,1341142779,MT,Dark matter shapes the galaxy,622
111821,38432,1341143127,MT,A perfect pizza is a circle of joy,631
111821,38432,1341143127,RE,"Avocado toast is more than a trend, it’s a lifestyle",632
386251,1988,1341143181,RT,Neural networks process complex data,634
386251,103549,1341143251,RT,AI automates repetitive tasks,636
57114,57114,1341143477,MT,Boxing tests the limits of endurance and will,641
106209,175410,1341143514,RT,Natural language processing understands text,642
255320,176054,1341143545,MT,Ice cream melts your problems away,643
255320,176054,1341143545,RE,Homemade soup feels like a warm hug,644
1912,5438,1341144148,RT,Mountains challenge hikers,649
122106,279929,1341144391,MT,iPhone screens display vividly,654
122106,279929,1341144391,RE,iPhone performance is smooth,655
28829,11135,1341144394,RT,iOS updates enhance features,657
54755,23336,1341144453,RT,Forests provide serenity,658
369224,17871,1341145064,RT,Computer vision interprets images,677
369224,17871,1341145351,RT,Speech recognition enables communication,686
50218,35376,1341145673,MT,iPhone battery life improves,697
404614,404614,1341146690,MT,Galactic halo surrounds,714
80084,80084,1341146990,MT,Globular clusters shine,722
258313,258313,1341147623,MT,Interstellar gas drifts,743
64987,35376,1341148584,MT,iPhone security protects data,776
11050,214138,1341148673,MT,Voting is a civic duty,780
329011,37820,1341149021,MT,Volleyball is teamwork and timing,788
6338,6338,1341149278,MT,Convertibles embrace freedom,794
11029,214138,1341149735,MT,Political debates inform the public,799
60201,26486,1341151033,RT,Off-road vehicles conquer terrain,830
9288,9288,1341151638,MT,iPhone Face ID recognizes users,838
9288,9288,1341151638,RE,iPhone Touch ID secures access,839
341759,33116,1341152190,RT,Crypto markets are volatile,855
174346,174346,1341152431,MT,iPhone apps extend functionality,867
174346,174346,1341152431,RE,iPhone ecosystem integrates devices,868
232891,1221,1341152872,RT,iPhone storage offers options,874
265816,265816,1341153167,MT,AI chatbots interact with users,880
242840,17939,1341153408,RT,Pickup trucks carry heavy loads,889
188761,188761,1341154562,MT,Tokens represent value,913
43693,80214,1341154664,MT,Robotics integrates AI for automation,915
236406,267310,1341155450,MT,Cosmic dust scatters light,926
51652,88,1341155803,MT,Campaigns influence opinions,949
6999,26486,1341155825,RT,Autonomous cars navigate roads,956
350200,26486,1341155903,RT,Classic cars preserve history,970
142644,88,1341155968,MT,Legislation affects society,985
18270,88,1341156084,MT,Public policy guides communities,1000
107006,26486,1341156128,RT,Muscle cars show power,1007
210100,4,1341156152,MT,Film festivals showcase talent,1011
142125,4,1341156152,MT,Indie films reveal innovation,1013
131430,88,1341156223,MT,Government decisions impact lives,1036
438160,26486,1341156529,RT,Supercars push performance,1091
126479,97560,1341156603,MT,Hockey is fast and unforgiving,1102
22505,26486,1341156676,RT,Electric motors replace combustion,1112
164503,88,1341156827,MT,Political parties represent ideologies,1136
190316,510,1341157255,RT,AI algorithms optimize decisions,1166
344287,88,1341157331,MT,Diplomacy resolves conflicts,1178
9131,88,1341157417,MT,International relations maintain peace,1185
93195,26486,1341157486,RT,Gasoline engines power traditional cars,1189
147421,60146,1341157626,RT,Track and field push the human body to extremes,1194
369633,13603,1341157629,RT,Crypto exchanges facilitate trading,1195
183569,26486,1341157692,RT,Diesel engines provide torque,1200
74936,26486,1341157694,RT,Turbochargers boost performance,1202
16936,6835,1341157844,MT,iPhone connectivity is seamless,1219
11256,38790,1341157844,RT,Decentralization empowers users,1221
110262,110262,1341157845,MT,Blockbusters draw crowds,1222
73788,88,1341158058,MT,Political campaigns mobilize voters,1241
147036,38790,1341158144,RT,Crypto adoption is growing,1249
58488,26486,1341158281,RT,Horsepower measures engine output,1260
133067,26486,1341158485,RT,Torque determines pulling power,1288
433379,433378,1341158511,MT,Gymnastics combines grace with strength,1289
433378,433379,1341158544,RT,Martial arts teach discipline and focus,1290
433378,433378,1341158544,MT,Skiing is gliding over winter’s canvas,1291
433378,433379,1341158576,MT,Snowboarding is freedom on a slope,1294
433378,433379,1341158576,RE,Surfing is reading the waves,1295
85847,88,1341158974,MT,Civil rights protect freedoms,1325
247775,26486,1341159076,RT,Acceleration thrills drivers,1335
64606,38790,1341159086,RT,Ledger technology is transparent,1338
4394,158097,1341159168,MT,Animated films spark imagination,1349
4394,158097,1341159168,RE,Documentaries inform and inspire,1350
130582,4,1341159276,MT,Biopics honor real lives,1362
305128,38790,1341159291,RT,Bitcoin halving impacts supply,1365
223726,223718,1341159430,RT,Crypto liquidity is crucial,1373
278775,510,1341159485,MT,Predictive analytics forecasts trends,1378
103759,38790,1341159590,RT,Gas fees affect Ethereum transactions,1395
45677,88,1341159595,MT,Voting rights ensure equality,1396
115005,38790,1341159994,RT,Layer 2 solutions scale networks,1420
30097,13798,1341160018,RT,Top speed excites enthusiasts,1424
137188,510,1341160105,RT,Reinforcement learning improves performance,1432
185057,88,1341160188,MT,Policy reforms drive change,1440
286005,88,1341160281,MT,Political movements inspire action,1450
68221,38790,1341160331,RT,Crypto security is essential,1461
46418,38790,1341160427,RT,Public keys are identifiers,1472
106644,26486,1341160489,RT,Handling defines control,1484
158097,4394,1341160545,MT,Historical films teach lessons,1490
158097,4394,1341160545,RE,Romantic movies touch hearts,1491
273860,26486,1341160610,RT,Suspension smooths ride,1501
287068,26486,1341160627,RT,Brakes ensure safety,1503
92528,4974,1341160686,RT,"Pancakes are flat, but joy is stacked",1506
21804,88,1341160710,MT,Protests express public opinion,1507
405484,88,1341160759,MT,Elected officials serve constituents,1512
50218,35376,1341160783,RT,iPhone display is Retina,1516
93620,88,1341160808,MT,Political accountability matters,1520
37983,38790,1341161265,RT,Private keys are secrets,1561
415261,26486,1341161523,RT,Steering affects precision,1573
