engager,target_user,timestamp,interaction,tweet,post_id
13139,13795,1341100000,RT,Nothing beats the smell of fresh bread in the morning,0
14565,2687,1341100060,RT,"Football is more than a game, it is a lifestyle",1
979,10357,1341100120,MT,Bitcoin is digital gold,2
106758,206628,1341100180,MT,Politics shapes nations and policies,3
31334,1553,1341100240,MT,Artificial intelligence transforms technology,4
50816,28273,1341100300,MT,Movies transport us to other worlds,5
36854,230115,1341100360,RT,Cars combine engineering and art,6
106658,138327,1341100420,RE,Travel opens new perspectives,7
17312,68869,1341100480,RT,iPhones revolutionize mobile tech,8
8920,130397,1341100540,RT,Milky Way spans the night sky,9
112746,50742,1341100600,MT,Chocolate cake is proof that happiness can be baked,10
59141,105407,1341100660,RE,Basketball courts are where legends are made,11
37561,50294,1341100720,RT,Ethereum powers decentralized apps,12
3141,128,1341100780,RE,Elections determine leadership,13
242244,20194,1341100840,RE,Machine learning powers AI systems,14
7785,337192,1341100900,RT,Cinema captures human emotion,15
1895,173809,1341100960,RT,Automobiles drive innovation,16
14549,201745,1341101020,MT,Exploring destinations inspires,17
253142,1500,1341101080,RT,iPhone design emphasizes simplicity,18
15214,13501,1341101140,RE,Our galaxy is vast,19
4259,197852,1341101200,MT,Freshly brewed coffee makes everything better,20
18669,33302,1341101260,RE,Soccer brings the world together,21
89949,137587,1341101320,RT,Blockchain is the future of trust,22
37803,20152,1341101380,RE,Voting is a civic duty,23
26367,22774,1341101440,RE,Deep learning mimics the human brain,24
49179,140242,1341101500,RE,Film tells powerful stories,25
110932,7783,1341101560,RT,Electric vehicles shape the future,26
50209,242935,1341101620,RE,Adventure awaits the curious,27
93965,45697,1341101680,RT,iPhone cameras capture moments,28
4994,13633,1341101740,RE,Stars light up the Milky Way,29
24742,94,1341101800,RE,A perfect pizza is a circle of joy,30
10264,43,1341101860,MT,Running clears the mind and strengthens the body,31
45605,31248,1341101920,MT,Altcoins offer diverse opportunities,32
154107,2813,1341101980,RE,Political debates inform the public,33
14721,222,1341102040,RE,Neural networks process complex data,34
7219,39523,1341102100,MT,Directors shape visions,35
101806,12931,1341102160,MT,Hybrid cars balance power and efficiency,36
14613,36415,1341102220,RE,Culture enriches the traveler,37
62903,184519,1341102280,RE,iPhone screens display vividly,38
209641,118729,1341102340,RE,Nebulae color the galaxy,39
75458,97338,1341102400,MT,"Avocado toast is more than a trend, it’s a lifestyle",40
19989,84647,1341102460,RT,Tennis is a battle of strategy and speed,41
304715,50233,1341102520,RT,DeFi is reshaping finance,42
165066,35365,1341102580,RE,Campaigns influence opinions,43
199570,236994,1341102640,MT,AI automates repetitive tasks,44
34460,11830,1341102700,RT,Actors bring characters to life,45
141049,14813,1341102760,RE,Luxury cars showcase design,46
5206,41812,1341102820,MT,Nature offers peace,47
1548,2564,1341102880,MT,iPhone performance is smooth,48
191347,49694,1341102940,RE,Black holes lurk unseen,49
425025,2001,1341103000,RE,Ice cream melts your problems away,50
420228,197205,1341103060,RT,Swimming is freedom in motion,51
116893,196346,1341103120,RE,NFTs create digital ownership,52
99104,42170,1341103180,RT,Legislation affects society,53
133894,22634,1341103240,RT,Natural language processing understands text,54
140190,59945,1341103300,RE,Screenplays craft narratives,55
182158,106951,1341103360,RE,Sports cars thrill drivers,56
2911,47608,1341103420,MT,Beaches invite relaxation,57
108134,87948,1341103480,MT,iOS updates enhance features,58
3924,16099,1341103540,RE,Galactic core is dense,59
57,12510,1341103600,MT,Homemade soup feels like a warm hug,60
73556,41828,1341103660,MT,Baseball is America’s pastime,61
10357,137329,1341103720,RE,Crypto wallets keep assets safe,62
8209,3604,1341103780,RT,Public policy guides communities,63
553,26158,1341103840,RE,Computer vision interprets images,64
139108,57257,1341103900,RE,Cinematography frames beauty,65
31171,198048,1341103960,RE,SUVs offer versatility,66
52030,27184,1341104020,RE,Mountains challenge hikers,67
52329,479,1341104080,MT,iPhone battery life improves,68
166106,349771,1341104140,MT,Spiral arms rotate,69
7801,125279,1341104200,RE,"Pancakes are flat, but joy is stacked",70
7423,6695,1341104260,RE,Cycling is the journey and the destination,71
51059,11852,1341104320,RT,Smart contracts automate agreements,72
149163,118818,1341104380,RT,Government decisions impact lives,73
27518,35527,1341104440,RE,Speech recognition enables communication,74
11025,3693,1341104500,MT,Editing controls pacing,75
237343,154451,1341104560,MT,Sedans provide comfort,76
372414,16452,1341104620,RE,Forests provide serenity,77
14893,5208,1341104680,MT,iPhone security protects data,78
86368,418,1341104740,RT,Solar System orbits the center,79
93051,2320,1341104800,RT,Spices turn a meal into an adventure,80
29477,436078,1341104860,RE,Golf requires patience and precision,81
17531,304715,1341104920,RT,Mining validates transactions,82
21296,73505,1341104980,RT,Political parties represent ideologies,83
200195,174859,1341105040,RE,AI chatbots interact with users,84
31975,231873,1341105100,RE,Soundtracks enhance mood,85
7643,1542,1341105160,RE,Hatchbacks maximize practicality,86
106282,2919,1341105220,RE,Cities bustle with life,87
85795,13584,1341105280,RT,iPhone Face ID recognizes users,88
40669,26149,1341105340,RE,Stellar nurseries form stars,89
168820,223125,1341105400,RE,Sushi is an art form you can eat,90
51715,44036,1341105460,RE,Boxing tests the limits of endurance and will,91
5207,45605,1341105520,RT,Staking earns rewards,92
181626,26691,1341105580,RE,Diplomacy resolves conflicts,93
81181,58739,1341105640,RE,Robotics integrates AI for automation,94
41395,8806,1341105700,RT,Visual effects create wonder,95
51289,192943,1341105760,MT,Coupes emphasize style,96
66483,39889,1341105820,MT,Villages offer charm,97
52908,149212,1341105880,RE,iPhone Touch ID secures access,98
38642,57738,1341105940,RE,Supernovae enrich space,99
15499,93502,1341106000,RE,Tacos are happiness folded in a tortilla,100
81405,252833,1341106060,RT,Volleyball is teamwork and timing,101
22451,3164,1341106120,RE,Crypto markets are volatile,102
143550,28516,1341106180,MT,International relations maintain peace,103
28072,50698,1341106240,RE,AI algorithms optimize decisions,104
121076,57324,1341106300,RE,Movie premieres excite fans,105
230115,12159,1341106360,RE,Convertibles embrace freedom,106
41740,5980,1341106420,RT,Road trips bring freedom,107
106089,16064,1341106480,MT,iPhone apps extend functionality,108
39420,13078,1341106540,RE,Exoplanets orbit stars,109
30298,93990,1341106600,RE,Pie is love baked into slices,110
329707,8442,1341106660,RE,Hockey is fast and unforgiving,111
70491,22781,1341106720,RE,Tokens represent value,112
154619,181626,1341106780,MT,Political campaigns mobilize voters,113
10159,59266,1341106840,RT,Predictive analytics forecasts trends,114
139108,29100,1341106900,MT,Film festivals showcase talent,115
17564,35738,1341106960,RE,Off-road vehicles conquer terrain,116
281202,31337,1341107020,RE,Rail journeys reveal landscapes,117
83127,4444,1341107080,RE,iPhone ecosystem integrates devices,118
54291,338829,1341107140,RE,Dark matter shapes the galaxy,119
49180,54265,1341107200,RT,Fresh herbs elevate any dish,120
3287,121293,1341107260,RT,Track and field push the human body to extremes,121
56698,153249,1341107320,MT,Crypto exchanges facilitate trading,122
3691,80426,1341107380,RE,Civil rights protect freedoms,123
23125,162863,1341107440,RE,Reinforcement learning improves performance,124
32445,14554,1341107500,RT,Indie films reveal innovation,125
14124,87761,1341107560,MT,Pickup trucks carry heavy loads,126
161907,55,1341107620,RT,Flights span continents,127
