timestamp,topic,emotion,tweet
2026-01-08T13:58:51.384886,Politics & Public Policy,Joy,
2026-01-08T13:58:51.548861,Politics & Public Policy,Anger,
2026-01-08T13:58:51.623367,Politics & Public Policy,Sadness,
2026-01-08T14:08:34.912334,Politics & Public Policy,Joy,
2026-01-08T14:08:35.075089,Politics & Public Policy,Anger,
2026-01-08T14:08:35.162498,Politics & Public Policy,Sadness,
2026-01-08T14:08:35.249813,Politics & Public Policy,Fear,
2026-01-08T14:08:35.336907,Politics & Public Policy,Surprise,
2026-01-08T14:08:35.506277,Politics & Public Policy,Disgust,
2026-01-08T14:08:35.592819,Politics & Public Policy,Trust,
2026-01-08T14:19:18.694664,Politics & Public Policy,Joy,
2026-01-08T14:19:18.848357,Politics & Public Policy,Anger,
2026-01-08T14:19:18.891931,Politics & Public Policy,Sadness,
2026-01-08T14:19:18.935656,Politics & Public Policy,Fear,
2026-01-08T14:19:18.981147,Politics & Public Policy,Surprise,
2026-01-08T14:19:19.255500,Politics & Public Policy,Disgust,
2026-01-08T14:19:19.300431,Politics & Public Policy,Trust,
2026-01-08T14:19:19.344988,Politics & Public Policy,Anticipation,
2026-01-08T14:19:19.468287,Technology & AI,Joy,
2026-01-08T14:19:19.512365,Technology & AI,Anger,
2026-01-08T14:19:19.556838,Technology & AI,Sadness,
2026-01-08T14:19:19.600907,Technology & AI,Fear,
2026-01-08T14:19:19.644250,Technology & AI,Surprise,
2026-01-08T14:19:19.688747,Technology & AI,Disgust,
2026-01-08T14:19:19.731548,Technology & AI,Trust,
2026-01-08T14:19:19.775074,Technology & AI,Anticipation,
2026-01-08T14:19:19.818098,Health & Wellness,Joy,
2026-01-08T14:19:19.861302,Health & Wellness,Anger,
2026-01-08T14:19:19.904857,Health & Wellness,Sadness,
2026-01-08T14:19:19.947558,Health & Wellness,Fear,
2026-01-08T14:19:19.990066,Health & Wellness,Surprise,
2026-01-08T14:19:20.033708,Health & Wellness,Disgust,
2026-01-08T14:19:20.076304,Health & Wellness,Trust,
2026-01-08T14:19:20.119833,Health & Wellness,Anticipation,
2026-01-08T14:19:20.162337,Climate & Environment,Joy,
2026-01-08T14:19:20.205823,Climate & Environment,Anger,
2026-01-08T14:19:20.248917,Climate & Environment,Sadness,
2026-01-08T14:19:20.291805,Climate & Environment,Fear,
2026-01-08T14:19:20.334633,Climate & Environment,Surprise,
2026-01-08T14:19:20.377897,Climate & Environment,Disgust,
2026-01-08T14:19:20.420889,Climate & Environment,Trust,
2026-01-08T14:19:20.464170,Climate & Environment,Anticipation,
2026-01-08T14:19:20.507472,Finance & Cryptocurrency,Joy,
2026-01-08T14:19:20.551043,Finance & Cryptocurrency,Anger,
2026-01-08T14:19:20.594136,Finance & Cryptocurrency,Sadness,
2026-01-08T14:19:20.637676,Finance & Cryptocurrency,Fear,
2026-01-08T14:19:20.680739,Finance & Cryptocurrency,Surprise,
2026-01-08T14:19:20.726205,Finance & Cryptocurrency,Disgust,
2026-01-08T14:19:20.769730,Finance & Cryptocurrency,Trust,
2026-01-08T14:19:20.812277,Finance & Cryptocurrency,Anticipation,
2026-01-08T14:19:20.854953,Sports & Fitness,Joy,
2026-01-08T14:19:20.898135,Sports & Fitness,Anger,
2026-01-08T14:19:20.941575,Sports & Fitness,Sadness,
2026-01-08T14:19:20.984528,Sports & Fitness,Fear,
2026-01-08T14:19:21.026869,Sports & Fitness,Surprise,
2026-01-08T14:19:21.070410,Sports & Fitness,Disgust,
2026-01-08T14:19:21.112860,Sports & Fitness,Trust,
2026-01-08T14:19:21.156130,Sports & Fitness,Anticipation,
2026-01-08T14:19:21.200172,Entertainment & Celebrities,Joy,
2026-01-08T14:19:21.244096,Entertainment & Celebrities,Anger,
2026-01-08T14:19:21.288241,Entertainment & Celebrities,Sadness,
2026-01-08T14:19:21.331593,Entertainment & Celebrities,Fear,
2026-01-08T14:19:21.375100,Entertainment & Celebrities,Surprise,
2026-01-08T14:19:21.420135,Entertainment & Celebrities,Disgust,
2026-01-08T14:19:21.462761,Entertainment & Celebrities,Trust,
2026-01-08T14:19:21.505953,Entertainment & Celebrities,Anticipation,
2026-01-08T14:19:21.548742,Education & Careers,Joy,
2026-01-08T14:19:21.591925,Education & Careers,Anger,
2026-01-08T14:19:21.635315,Education & Careers,Sadness,
2026-01-08T14:19:21.677780,Education & Careers,Fear,
2026-01-08T14:19:21.720380,Education & Careers,Surprise,
2026-01-08T14:19:21.763863,Education & Careers,Disgust,
2026-01-08T14:19:21.806285,Education & Careers,Trust,
2026-01-08T14:19:21.849585,Education & Careers,Anticipation,
2026-01-08T14:19:21.891942,Science & Space,Joy,
2026-01-08T14:19:21.935253,Science & Space,Anger,
2026-01-08T14:19:21.978688,Science & Space,Sadness,
2026-01-08T14:19:22.021771,Science & Space,Fear,
2026-01-08T14:19:22.064408,Science & Space,Surprise,
2026-01-08T14:19:22.108248,Science & Space,Disgust,
2026-01-08T14:19:22.151300,Science & Space,Trust,
