engager,target_user,timestamp,interaction,tweet,post_id
979,8942,1341100000,RT,Love this! a policy that prioritizes healthcare access for everyone,0
12937,13506,1341100060,RE,Love this! AI tools improving everyday productivity,1
119425,214092,1341100120,MT,Love this! new initiatives making healthcare more accessible,2
372414,3816,1341100180,RT,Love this! efforts to reduce carbon emissions gaining momentum,3
42825,141501,1341100240,RE,Love this! new regulations improving market transparency,4
79783,208863,1341100300,MT,Love this! athletes breaking records with hard work,5
196143,39086,1341100360,RT,Love this! a movie receiving well-deserved praise from critics,6
47626,44135,1341100420,RE,Love this! schools implementing innovative learning programs,7
44264,18451,1341100480,MT,Love this! new discoveries expanding our understanding of the universe,8
17676,92785,1341100540,RT,Love this! new habits improving daily productivity,9
34963,6969,1341100600,RE,So glad to see this! a policy that prioritizes healthcare access for everyone,10
31450,16296,1341100660,MT,So glad to see this! AI tools improving everyday productivity,11
11095,73505,1341100720,RT,So glad to see this! new initiatives making healthcare more accessible,12
131116,49089,1341100780,RE,So glad to see this! efforts to reduce carbon emissions gaining momentum,13
150857,38001,1341100840,MT,So glad to see this! new regulations improving market transparency,14
8602,45004,1341100900,RT,So glad to see this! athletes breaking records with hard work,15
126428,31917,1341100960,RE,So glad to see this! a movie receiving well-deserved praise from critics,16
31564,61891,1341101020,MT,So glad to see this! schools implementing innovative learning programs,17
69815,131668,1341101080,RT,So glad to see this! new discoveries expanding our understanding of the universe,18
126503,39422,1341101140,RE,So glad to see this! new habits improving daily productivity,19
489,5516,1341101200,MT,Brilliant work! a policy that prioritizes healthcare access for everyone,20
1037,3020,1341101260,RT,Brilliant work! AI tools improving everyday productivity,21
983,171734,1341101320,RE,Brilliant work! new initiatives making healthcare more accessible,22
4123,299898,1341101380,MT,Brilliant work! efforts to reduce carbon emissions gaining momentum,23
44446,32438,1341101440,RT,Brilliant work! new regulations improving market transparency,24
217264,237922,1341101500,RE,Brilliant work! athletes breaking records with hard work,25
206229,12058,1341101560,MT,Brilliant work! a movie receiving well-deserved praise from critics,26
4875,153249,1341101620,RT,Brilliant work! schools implementing innovative learning programs,27
160629,344580,1341101680,RE,Brilliant work! new discoveries expanding our understanding of the universe,28
352288,108607,1341101740,MT,Brilliant work! new habits improving daily productivity,29
30230,3604,1341101800,RT,Hate this. a policy that prioritizes healthcare access for everyone,30
230370,679,1341101860,RE,Hate this. AI tools improving everyday productivity,31
51640,76901,1341101920,MT,Hate this. new initiatives making healthcare more accessible,32
16140,78063,1341101980,RT,Hate this. efforts to reduce carbon emissions gaining momentum,33
59162,6502,1341102040,RE,Hate this. new regulations improving market transparency,34
253142,10925,1341102100,MT,Hate this. athletes breaking records with hard work,35
85746,104265,1341102160,RT,Hate this. a movie receiving well-deserved praise from critics,36
104053,14134,1341102220,RE,Hate this. schools implementing innovative learning programs,37
50769,74187,1341102280,MT,Hate this. new discoveries expanding our understanding of the universe,38
149261,300860,1341102340,RT,Hate this. new habits improving daily productivity,39
5335,7691,1341102400,RE,This is disappointing. a policy that prioritizes healthcare access for everyone,40
400,55955,1341102460,MT,This is disappointing. AI tools improving everyday productivity,41
407912,34305,1341102520,RT,This is disappointing. new initiatives making healthcare more accessible,42
90718,126091,1341102580,RE,This is disappointing. efforts to reduce carbon emissions gaining momentum,43
79423,26171,1341102640,MT,This is disappointing. new regulations improving market transparency,44
173809,5602,1341102700,RT,This is disappointing. athletes breaking records with hard work,45
72174,2949,1341102760,RE,This is disappointing. a movie receiving well-deserved praise from critics,46
